customer_id,age,gender,city,education,employment_type,monthly_income,credit_score,loan_amount,loan_term_months,interest_rate,existing_loans,default_history,marital_status,dependents,property_ownership,vehicle_ownership,insurance,bank_balance,avg_monthly_expense,last_login_days,mobile_app_user,customer_rating,churn_risk,loan_approved
1.0,65.0,Male,,Post Graduate,Business,74506.0,489.0,599334.0,60.0,,5.0,Yes,Divorced,4.0,Owned,Yes,No,1427845.0,,248.0,Yes,1.3,Low,No
2.0,22.0,Female,,Diploma,Salaried,170484.0,559.0,449264.0,72.0,16.12,,Yes,,5.0,Rented,Yes,Yes,907843.0,,7.0,No,1.7,Low,Yes
3.0,43.0,Male,Ahmedabad,High School,Unemployed,133605.0,464.0,622763.0,12.0,9.98,,Yes,Married,1.0,Owned,No,Yes,,49869.0,,Yes,1.7,Low,No
4.0,21.0,Female,Mumbai,Post Graduate,Salaried,17534.0,722.0,,12.0,13.87,4.0,,Divorced,0.0,Rented,Yes,No,494704.0,52724.0,51.0,Yes,2.8,Medium,Yes
5.0,37.0,Female,Delhi,,Unemployed,158886.0,,359096.0,12.0,7.01,2.0,No,Married,1.0,Rented,No,No,644882.0,68649.0,208.0,No,4.5,Medium,Yes
6.0,41.0,Female,Delhi,Graduate,,162486.0,823.0,526996.0,60.0,9.58,4.0,No,Married,4.0,Owned,Yes,Yes,240107.0,,207.0,No,1.1,Medium,Yes
7.0,57.0,Female,Mumbai,Graduate,,,372.0,,72.0,18.47,3.0,No,Single,,,No,Yes,67377.0,93568.0,195.0,Yes,3.3,Medium,Yes
8.0,46.0,Female,Bangalore,Graduate,,131400.0,496.0,,12.0,10.82,2.0,Yes,Divorced,,Mortgaged,No,No,1070883.0,12680.0,27.0,Yes,1.9,High,Yes
9.0,32.0,Male,Mumbai,High School,Business,,481.0,192008.0,48.0,13.84,1.0,No,Married,5.0,,Yes,No,1218889.0,36797.0,38.0,No,1.9,Low,Yes
10.0,41.0,Female,Pune,Graduate,Self-Employed,123958.0,358.0,387415.0,72.0,13.27,2.0,No,Single,0.0,Rented,No,No,703241.0,32153.0,172.0,Yes,3.0,Medium,Yes
11.0,26.0,Female,Bangalore,High School,Unemployed,82399.0,630.0,481000.0,48.0,18.46,1.0,No,Single,,Owned,No,No,1185345.0,83753.0,165.0,No,4.1,High,Yes
12.0,43.0,Female,Chennai,Post Graduate,Unemployed,81084.0,510.0,612483.0,72.0,19.37,2.0,No,Married,0.0,Rented,Yes,Yes,1235713.0,41540.0,260.0,Yes,1.7,Medium,No
13.0,64.0,Female,Bangalore,Diploma,Unemployed,193704.0,,670854.0,72.0,10.28,0.0,Yes,Single,4.0,,No,No,366300.0,23524.0,85.0,,4.4,High,Yes
14.0,60.0,Male,Pune,PhD,,157577.0,491.0,484207.0,24.0,7.86,2.0,No,Married,2.0,Rented,Yes,Yes,883122.0,37284.0,272.0,Yes,4.7,,Yes
15.0,44.0,Female,Bangalore,Graduate,,129152.0,515.0,193612.0,12.0,16.23,4.0,Yes,Single,4.0,Mortgaged,No,Yes,369671.0,95442.0,152.0,No,1.8,Low,No
16.0,26.0,Male,Ahmedabad,,Salaried,163747.0,813.0,475059.0,60.0,15.04,5.0,No,,4.0,Owned,Yes,Yes,816601.0,95974.0,1.0,No,2.4,,No
